MakeName,McLaren,Maserati,MINI,Chevrolet,Porsche,Acura,Mercedes-Benz,Ford,Genesis,Smart,Dodge,Scion,Rolls-Royce,Cadillac,Honda,Hyundai,Volkswagen,Mazda,Jeep,Infiniti,LandRover,Kia,Mitsubishi,BMW,FIAT,Lincoln,Lamborghini,Jaguar,GMC,Toyota,Nissan,AstonMartin,Volvo,Ferrari,Chrysler,Bentley,Tesla,Ram,AlfaRomeo,Subaru,Buick,Lexus,Audi,,
Chrysler,7,1,3,2,0,5,3,1,0,2,2,1,0,4,4,1,0,1,3,1,5,2,11,2,1,5,3,1,3,5,2,4,1,0,59,1,1,0,2,3,0,2,2,0,156
Bentley,15,12,12,4,10,26,5,3,8,12,7,6,7,9,15,4,3,9,3,2,3,7,4,3,6,9,4,6,6,26,2,24,11,4,4,78,10,0,7,4,3,9,14,0,416
Tesla,30,17,23,21,9,26,9,7,13,10,3,4,9,9,21,9,6,7,3,5,5,11,5,5,9,12,11,7,12,29,3,27,11,2,5,3,179,1,6,20,1,19,26,0,650
Ram,5,4,13,3,6,5,4,5,3,7,2,1,3,4,8,4,2,1,4,1,1,3,1,3,1,2,4,1,5,3,0,2,8,3,2,1,4,90,2,3,0,2,1,0,227
Alfa Romeo,21,12,20,15,11,15,6,11,10,12,5,9,10,6,9,7,4,8,5,7,5,13,2,5,10,11,8,13,9,13,5,15,19,3,12,12,11,3,83,4,9,6,14,0,488
Subaru,72,13,38,19,30,32,32,21,16,32,41,14,21,25,59,22,5,28,13,9,40,3,6,2,32,9,21,15,60,94,8,62,21,7,9,14,34,16,14,769,5,21,31,0,1835
Buick,5,2,14,1,3,8,6,1,1,6,2,5,1,5,12,0,4,4,0,4,0,3,1,1,3,4,4,2,9,5,2,6,0,1,3,1,2,3,0,2,50,5,3,0,194
Lexus,52,17,17,14,15,49,11,7,6,19,10,16,8,14,21,13,7,15,6,4,11,17,5,3,31,14,11,14,28,64,6,36,9,8,2,8,22,1,8,26,0,586,40,0,1271
Audi,83,40,86,41,57,156,77,30,39,59,24,33,26,47,126,29,14,44,17,28,27,38,16,13,70,40,42,41,55,102,19,142,55,21,17,37,68,16,30,59,12,54,956,0,2986
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.44344704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.937163375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.859964093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.859964093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.859964093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.68043088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.411131059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
